UserID,Date,TimeSpentSeconds,Device,VisitFrequency,ProductType,ProductDescription
1,2021-01-01 00:00:00,39,Tablet,18,Dresses, Evening Dress
1,2021-01-01 01:00:00,299,Mobile,11,Heels, Block Heels
1,2021-01-01 02:00:00,485,Mobile,8,Ties, Silk Tie
1,2021-01-01 03:00:00,318,Tablet,16,Makeup, Concealer
1,2021-01-01 04:00:00,166,Desktop,10,Jackets, Windbreaker
2,2021-01-01 05:00:00,456,Mobile,8,Heels, Block Heels
2,2021-01-01 06:00:00,53,Desktop,7,Accessories, Cufflinks
2,2021-01-01 07:00:00,139,Mobile,8,Hoodies, Fleece Hoodie
2,2021-01-01 08:00:00,7,Desktop,2,Bags, Crossbody Bag
2,2021-01-01 09:00:00,293,Mobile,18,Accessories, Cufflinks
3,2021-01-01 10:00:00,582,Tablet,12,Boots, Ankle Boots
3,2021-01-01 11:00:00,413,Desktop,1,Dresses, Maxi Dress
3,2021-01-01 12:00:00,77,Mobile,4,Skincare, Moisturizer
3,2021-01-01 13:00:00,592,Desktop,3,Jeans, High-rise Jeans
3,2021-01-01 14:00:00,350,Tablet,19,Hoodies, Graphic Hoodie
4,2021-01-01 15:00:00,590,Desktop,11,Scarves, Plaid Scarf
4,2021-01-01 16:00:00,493,Tablet,18,Backpacks, Daypack
4,2021-01-01 17:00:00,128,Desktop,7,Watches, Digital Watch
4,2021-01-01 18:00:00,74,Tablet,7,Jackets, Windbreaker
4,2021-01-01 19:00:00,554,Mobile,13,Gloves, Driving Gloves
5,2021-01-01 20:00:00,179,Tablet,9,Swimwear, Swim Trunks
5,2021-01-01 21:00:00,76,Tablet,5,Hoodies, Graphic Hoodie
5,2021-01-01 22:00:00,467,Tablet,12,T-Shirts, V-Neck T-Shirt
5,2021-01-01 23:00:00,423,Desktop,1,Swimwear, Swim Shirt
5,2021-01-02 00:00:00,144,Desktop,6,Sweaters, Cable Knit Sweater
6,2021-01-02 01:00:00,92,Desktop,16,Heels, Wedge Heels
6,2021-01-02 02:00:00,205,Mobile,7,Boots, Hiking Boots
6,2021-01-02 03:00:00,200,Mobile,7,Jackets, Denim Jacket
6,2021-01-02 04:00:00,37,Tablet,19,Accessories, Pocket Square
6,2021-01-02 05:00:00,480,Desktop,1,Bags, Tote Bag
7,2021-01-02 06:00:00,570,Desktop,14,Hoodies, Fleece Hoodie
7,2021-01-02 07:00:00,33,Mobile,5,Sandals, Platform Sandals
7,2021-01-02 08:00:00,39,Tablet,17,Makeup, Blush
7,2021-01-02 09:00:00,549,Mobile,19,Makeup, Mascara
7,2021-01-02 10:00:00,7,Desktop,4,Accessories, Belt
8,2021-01-02 11:00:00,200,Desktop,19,Hoodies, Pullover Hoodie
8,2021-01-02 12:00:00,405,Desktop,4,Sandals, Gladiator Sandals
8,2021-01-02 13:00:00,492,Desktop,12,Sweaters, V-Neck Sweater
8,2021-01-02 14:00:00,449,Desktop,7,T-Shirts, Plain T-Shirt
8,2021-01-02 15:00:00,493,Mobile,12,Scarves, Silk Scarf
9,2021-01-02 16:00:00,427,Mobile,12,Belts, Studded Belt
9,2021-01-02 17:00:00,260,Mobile,6,Shorts, Cargo Shorts
9,2021-01-02 18:00:00,512,Desktop,5,Bags, Backpack
9,2021-01-02 19:00:00,37,Mobile,19,Scarves, Knit Scarf
9,2021-01-02 20:00:00,445,Desktop,3,Sneakers, Skate Shoes
10,2021-01-02 21:00:00,231,Desktop,15,Scarves, Fringe Scarf
10,2021-01-02 22:00:00,531,Desktop,3,Hoodies, Graphic Hoodie
10,2021-01-02 23:00:00,478,Mobile,8,Jeans, Bootcut Jeans
10,2021-01-03 00:00:00,325,Desktop,5,Ties, Silk Tie
10,2021-01-03 01:00:00,326,Mobile,8,Dresses, Summer Dress
11,2021-01-03 02:00:00,400,Tablet,16,Makeup, Eyeshadow
11,2021-01-03 03:00:00,23,Mobile,16,Backpacks, Daypack
11,2021-01-03 04:00:00,523,Tablet,14,Scarves, Knit Scarf
11,2021-01-03 05:00:00,36,Desktop,3,Backpacks, Canvas Backpack
11,2021-01-03 06:00:00,246,Mobile,18,Dresses, Cocktail Dress
12,2021-01-03 07:00:00,300,Mobile,5,Sandals, Flat Sandals
12,2021-01-03 08:00:00,244,Desktop,5,Sunglasses, Round Sunglasses
12,2021-01-03 09:00:00,543,Tablet,18,Sweaters, V-Neck Sweater
12,2021-01-03 10:00:00,526,Desktop,11,Scarves, Plaid Scarf
12,2021-01-03 11:00:00,531,Tablet,13,Jeans, High-rise Jeans
13,2021-01-03 12:00:00,400,Mobile,2,Hoodies, Graphic Hoodie
13,2021-01-03 13:00:00,451,Desktop,10,Skincare, Moisturizer
13,2021-01-03 14:00:00,15,Mobile,2,Skincare, Moisturizer
13,2021-01-03 15:00:00,382,Desktop,11,Jewelry, Necklace
13,2021-01-03 16:00:00,84,Mobile,3,Jackets, Leather Jacket
14,2021-01-03 17:00:00,251,Desktop,2,Scarves, Plaid Scarf
14,2021-01-03 18:00:00,203,Desktop,16,Jackets, Leather Jacket
14,2021-01-03 19:00:00,129,Mobile,4,Accessories, Bowtie
14,2021-01-03 20:00:00,117,Desktop,13,Sandals, Wedge Sandals
14,2021-01-03 21:00:00,148,Mobile,14,Backpacks, Laptop Backpack
15,2021-01-03 22:00:00,129,Desktop,13,Accessories, Belt
15,2021-01-03 23:00:00,130,Mobile,14,Sunglasses, Round Sunglasses
15,2021-01-04 00:00:00,529,Mobile,19,Dresses, Cocktail Dress
15,2021-01-04 01:00:00,372,Mobile,1,Backpacks, Laptop Backpack
15,2021-01-04 02:00:00,570,Mobile,12,Belts, Leather Belt
16,2021-01-04 03:00:00,364,Desktop,13,Backpacks, Daypack
16,2021-01-04 04:00:00,462,Desktop,8,Skincare, Cleanser
16,2021-01-04 05:00:00,347,Desktop,8,Watches, Smart Watch
16,2021-01-04 06:00:00,478,Desktop,12,Swimwear, Swim Shirt
