UserID,Date,OrderNumber,ShippingAddress,AmountSpent,PaymentMode,SaleStatus,ItemsPurchased,DiscountAmount,ReturnStatus,ReturnReason
1,2021-01-01,1,City1,167.00853038568766,Cash,False,Bucket Hat,28.190412655958824,Not Returned,
1,2021-01-02,2,City2,490.7968107088766,Credit Card,False,Athletic Shorts,1.6294939441609535,Not Returned,
1,2021-01-03,3,City3,135.13959815281328,Credit Card,False,Wool Gloves,3.2852267637206944,Not Returned,
1,2021-01-04,4,City4,104.33884393610484,Credit Card,False,Block Heels,9.338923321656805,Not Returned,
1,2021-01-05,5,City5,458.64875266806587,Cash,False,Ankle Boots,6.0369343594677165,Not Returned,
2,2021-01-06,6,City6,421.9817658558135,Cash,False,Pullover Hoodie,14.312887126610995,Not Returned,
2,2021-01-07,7,City7,376.99173241772434,Cash,False,Striped Shirt,14.395809079598958,Not Returned,
2,2021-01-08,8,City8,405.35608612503694,PayPal,False,Beanie,6.591022731407836,Not Returned,
2,2021-01-09,9,City9,419.79891480403046,PayPal,False,Board Shorts,32.676229845128056,Not Returned,
2,2021-01-10,10,City10,482.58617664194503,Credit Card,False,Rash Guard,46.507112118637764,Not Returned,
3,2021-01-11,11,City11,160.5244565560253,PayPal,False,Evening Dress,34.30677953369585,Not Returned,
3,2021-01-12,12,City12,349.5315069719836,PayPal,False,Satchel Bag,5.154962570435867,Not Returned,
3,2021-01-13,13,City13,122.24523007601623,Debit Card,False,Cat-Eye Sunglasses,1.4787357753548558,Not Returned,
3,2021-01-14,14,City14,134.98801054535193,PayPal,False,Platform Sandals,10.517414968304145,Not Returned,
3,2021-01-15,15,City15,79.40053850135104,PayPal,True,Striped Shirt,17.45011821438845,Returned,Defective Item
4,2021-01-16,16,City16,366.34919402961305,Debit Card,False,Flat Sandals,9.240447411843594,Returned,Wrong Size
4,2021-01-17,17,City17,294.9562634489772,Debit Card,False,Moisturizer,8.277484946824599,Not Returned,
4,2021-01-18,18,City18,390.4187636636153,Cash,False,Tuxedo,38.50809123507133,Not Returned,
4,2021-01-19,19,City19,92.50573827890835,Debit Card,True,Wedge Heels,6.74580257535694,Not Returned,
4,2021-01-20,20,City20,96.39931206773565,Cash,False,Board Shorts,11.640554963548755,Not Returned,
5,2021-01-21,21,City21,449.8510040265806,PayPal,True,Webbed Belt,39.147065237033715,Not Returned,
5,2021-01-22,22,City22,78.26484382823314,Credit Card,False,Clutch Bag,39.25369051072073,Returned,Changed Mind
5,2021-01-23,23,City23,183.19847107916976,PayPal,False,Jeans,27.05212987574666,Returned,Changed Mind
5,2021-01-24,24,City24,209.88414582547628,Debit Card,True,Touchscreen Gloves,22.8613978942958,Not Returned,
5,2021-01-25,25,City25,323.7378452452115,Cash,True,Bowtie,6.527421474348827,Not Returned,
6,2021-01-26,26,City26,208.51110970972883,Debit Card,False,Sports Watch,7.304710624449773,Not Returned,
6,2021-01-27,27,City27,253.483127659466,Debit Card,False,Pocket Square,2.668575805855694,Not Returned,
6,2021-01-28,28,City28,204.66220907720842,Cash,False,Wrap Dress,49.8422543271802,Not Returned,
6,2021-01-29,29,City29,177.05263922613955,Debit Card,True,Travel Backpack,13.812309834731279,Not Returned,
6,2021-01-30,30,City30,216.88157233154212,Credit Card,True,Jeans,9.109277345099526,Not Returned,
7,2021-01-31,31,City31,264.5548774505975,Credit Card,True,Skate Shoes,2.7588682303170353,Not Returned,
7,2021-02-01,32,City32,491.8985277665093,Credit Card,False,Knee-high Boots,45.362959663702554,Not Returned,
7,2021-02-02,33,City33,66.70286189742407,Credit Card,False,Swim Trunks,31.79769312516022,Not Returned,
7,2021-02-03,34,City34,466.3921254662526,Credit Card,False,Business Suit,35.368332878880366,Not Returned,
7,2021-02-04,35,City35,202.13947665745266,Credit Card,False,Round Sunglasses,1.9031839420844243,Not Returned,
8,2021-02-05,36,City36,299.17835524837983,Credit Card,False,Formal Shirt,28.512667900629022,Not Returned,
8,2021-02-06,37,City37,440.3069896107982,Cash,False,Backpack,2.934846380171352,Not Returned,
8,2021-02-07,38,City38,88.91588354130174,PayPal,False,Beanie,31.125106020811632,Not Returned,
8,2021-02-08,39,City39,117.25932850991262,Credit Card,True,Casual Shirt,32.60254718360723,Returned,Changed Mind
8,2021-02-09,40,City40,359.55574755475305,Credit Card,False,Earrings,36.187885924603236,Not Returned,
9,2021-02-10,41,City41,410.0758695405317,PayPal,False,Cargo Shorts,29.90970168781693,Not Returned,
9,2021-02-11,42,City42,76.22001855263578,PayPal,False,Round Sunglasses,12.965920431141898,Not Returned,
9,2021-02-12,43,City43,411.47776786948634,PayPal,True,Canvas Belt,37.833243737680974,Not Returned,
9,2021-02-13,44,City44,304.79239475607625,Cash,False,Cocktail Dress,39.447130508034874,Not Returned,
9,2021-02-14,45,City45,62.71376205511274,Cash,False,Turtleneck Sweater,47.03258990905195,Not Returned,
10,2021-02-15,46,City46,170.13641663301183,Cash,False,Denim Shorts,41.98699493019079,Not Returned,
10,2021-02-16,47,City47,244.83647397976398,Debit Card,False,Plaid Scarf,17.326684666492433,Not Returned,
10,2021-02-17,48,City48,149.70596077670726,Debit Card,False,Printed Shirt,27.802318601325084,Not Returned,
10,2021-02-18,49,City49,137.39551844730624,Cash,False,Necklace,40.54230870119784,Returned,Wrong Size
10,2021-02-19,50,City50,62.582317613578766,Credit Card,False,Ankle Boots,40.11663507636602,Not Returned,
11,2021-02-20,51,City51,66.77658924342478,PayPal,False,Knit Scarf,23.972668877322896,Not Returned,
11,2021-02-21,52,City52,391.3595300967913,PayPal,False,Athletic Shorts,7.3797909924797676,Not Returned,
11,2021-02-22,53,City53,289.33131920393106,Credit Card,False,Business Suit,48.950398243325274,Not Returned,
11,2021-02-23,54,City54,119.80496948480173,PayPal,True,Belt,21.809408611744313,Returned,Other
11,2021-02-24,55,City55,320.2310870887045,Credit Card,False,Graphic Shirt,44.03985490251321,Returned,Changed Mind
12,2021-02-25,56,City56,100.30007391574276,Debit Card,False,Satchel Bag,0.5367578560523945,Not Returned,
12,2021-02-26,57,City57,296.15350844526563,PayPal,False,Chino Shorts,14.034269939813965,Not Returned,
12,2021-02-27,58,City58,128.27811983439275,Cash,False,Zip-Up Hoodie,45.418157706445605,Not Returned,
12,2021-02-28,59,City59,72.10345105994364,Debit Card,False,Gladiator Sandals,1.5570241793841033,Not Returned,
12,2021-03-01,60,City60,431.44863772706674,Credit Card,False,Classic Sneakers,43.82348034956137,Not Returned,
13,2021-03-02,61,City61,489.76774067583904,Debit Card,True,Formal Shirt,34.124950209639145,Returned,Changed Mind
13,2021-03-03,62,City62,330.76620159033126,Debit Card,False,Bracelet,3.6028886125771264,Not Returned,
13,2021-03-04,63,City63,281.72041283930884,Cash,False,Leather Jacket,15.180468332873259,Not Returned,
13,2021-03-05,64,City64,348.031867044834,Debit Card,False,Printed Shirt,45.53838174492093,Not Returned,
13,2021-03-06,65,City65,495.09901247246034,PayPal,False,Pocket T-Shirt,23.25981757484724,Not Returned,
14,2021-03-07,66,City66,274.45795410281346,Cash,False,Trucker Hat,43.33880284317753,Not Returned,
14,2021-03-08,67,City67,170.0672685559617,Debit Card,False,Cocktail Dress,40.36702312232725,Not Returned,
14,2021-03-09,68,City68,483.57183709696073,Credit Card,True,Swim Shirt,35.41741519955568,Not Returned,
14,2021-03-10,69,City69,430.39810281139677,Cash,False,Knit Gloves,48.7621068612279,Returned,Changed Mind
14,2021-03-11,70,City70,50.082819330908656,Cash,False,Mascara,0.654023953415428,Returned,Defective Item
15,2021-03-12,71,City71,15.071730907331528,Credit Card,True,Concealer,35.099905387409564,Not Returned,
15,2021-03-13,72,City72,33.520296178563264,Debit Card,False,Sports Watch,39.90324778320335,Not Returned,
15,2021-03-14,73,City73,459.4898464064008,Credit Card,False,Chinos,44.659847556113405,Not Returned,
15,2021-03-15,74,City74,114.11876111085779,Cash,False,Plaid Scarf,6.1343398240289835,Not Returned,
15,2021-03-16,75,City75,250.07356275354192,PayPal,False,Gladiator Sandals,30.891570649756854,Not Returned,
16,2021-03-17,76,City76,434.5690831002709,Credit Card,False,Hiking Backpack,3.3622879394408276,Not Returned,
16,2021-03-18,77,City77,162.23178112085938,Debit Card,False,Backpack,17.93886776333926,Returned,Wrong Size
16,2021-03-19,78,City78,340.12225982349486,Debit Card,False,Distressed Jeans,27.254042575943377,Not Returned,
16,2021-03-20,79,City79,192.93008428857343,PayPal,False,Dress Watch,12.978531540291527,Not Returned,
16,2021-03-21,80,City80,313.2164399050559,Credit Card,False,Pocket Square,3.8586881786327076,Not Returned,
17,2021-03-22,81,City81,360.6518004526233,Credit Card,False,Platform Heels,13.859659576140432,Not Returned,
17,2021-03-23,82,City82,267.36070882843933,PayPal,False,Cable Knit Sweater,40.15593082709319,Not Returned,
17,2021-03-24,83,City83,18.27784863896862,Cash,False,Wedge Heels,38.68900592606982,Not Returned,
17,2021-03-25,84,City84,195.68242212062955,Cash,False,Business Suit,26.716691123510945,Not Returned,
17,2021-03-26,85,City85,283.19076115018447,Debit Card,False,Satchel Bag,48.29776238810323,Not Returned,
18,2021-03-27,86,City86,130.19056170193696,Credit Card,False,Leather Gloves,47.395944430011674,Not Returned,
18,2021-03-28,87,City87,246.61676579190342,Debit Card,True,Bootcut Jeans,2.123087870235385,Not Returned,
18,2021-03-29,88,City88,440.8671141305969,PayPal,False,Striped Shirt,1.0340273755473361,Returned,Wrong Size
18,2021-03-30,89,City89,216.633522465739,PayPal,True,Mascara,36.12707977192246,Not Returned,
18,2021-03-31,90,City90,85.67161175210015,PayPal,True,Casual Suit,49.99934568996371,Not Returned,
19,2021-04-01,91,City91,194.03882420821463,Credit Card,False,Graphic T-Shirt,1.8309332321280292,Not Returned,
19,2021-04-02,92,City92,471.2697037309445,Debit Card,False,Wayfarer Sunglasses,15.487222478781499,Not Returned,
19,2021-04-03,93,City93,270.1119153880024,PayPal,False,Ankle Boots,48.79497058486365,Not Returned,
19,2021-04-04,94,City94,425.2556055817679,Credit Card,False,Blazer,36.7614835081261,Not Returned,
19,2021-04-05,95,City95,106.17108736275185,Cash,False,Chino Shorts,31.69931935982388,Not Returned,
20,2021-04-06,96,City96,435.3106232147478,Credit Card,False,Graphic T-Shirt,47.39079030259157,Not Returned,
20,2021-04-07,97,City97,63.27395328364632,PayPal,False,Tuxedo,21.400898300424586,Not Returned,
20,2021-04-08,98,City98,196.04627118006675,Cash,False,Necklace,21.88502147566348,Not Returned,
20,2021-04-09,99,City99,415.5264751272755,Credit Card,False,Round Sunglasses,38.022838870451885,Not Returned,
20,2021-04-10,100,City100,320.53227410242215,Cash,False,Tuxedo,36.06030807994381,Not Returned,
21,2021-04-11,101,City101,164.0830386297121,Credit Card,False,Leather Gloves,21.20719885280017,Not Returned,
21,2021-04-12,102,City102,264.11188979906,PayPal,False,Face Mask,2.3030578597192375,Not Returned,
21,2021-04-13,103,City103,469.0182301884259,PayPal,True,Platform Heels,32.85931112246017,Not Returned,
21,2021-04-14,104,City104,363.4761788598255,Debit Card,True,Sports Watch,2.255278901618296,Not Returned,
21,2021-04-15,105,City105,239.12265947517864,Credit Card,False,Knee-high Boots,33.33052703597119,Not Returned,
22,2021-04-16,106,City106,13.665496859775605,Cash,False,Double-Breasted Suit,49.64796442808835,Not Returned,
22,2021-04-17,107,City107,473.74996459902934,Credit Card,False,Cargo Pants,9.526008072789166,Not Returned,
22,2021-04-18,108,City108,156.10618318391684,Cash,False,Zip-Up Hoodie,11.950074752182044,Not Returned,
22,2021-04-19,109,City109,169.1499616005376,PayPal,False,Denim Shorts,10.649234438773725,Not Returned,
22,2021-04-20,110,City110,298.0846318723823,PayPal,True,Gladiator Sandals,14.088457133556641,Not Returned,
23,2021-04-21,111,City111,217.8229357457702,Debit Card,False,High-rise Jeans,16.251912742885605,Not Returned,
23,2021-04-22,112,City112,141.93689594833694,Cash,False,Denim Jacket,36.08360058268263,Not Returned,
23,2021-04-23,113,City113,344.8188156405971,PayPal,False,Bucket Hat,8.60152647025682,Not Returned,
23,2021-04-24,114,City114,310.099503556261,Debit Card,False,Swim Trunks,48.977493398712696,Not Returned,
23,2021-04-25,115,City115,352.462890562627,Cash,False,Anklet,48.67999147268419,Not Returned,
24,2021-04-26,116,City116,197.49404783809857,Debit Card,True,Leather Gloves,7.992261922236709,Not Returned,
24,2021-04-27,117,City117,246.14889920885102,PayPal,False,Travel Backpack,5.706022757221168,Not Returned,
24,2021-04-28,118,City118,318.9654983632826,Credit Card,False,Belt,42.557884762425196,Not Returned,
24,2021-04-29,119,City119,388.33145874563326,Debit Card,False,Straight Jeans,3.5558721171959293,Not Returned,
24,2021-04-30,120,City120,291.89836827121434,Debit Card,False,Printed Shirt,5.028527909285879,Not Returned,
25,2021-05-01,121,City121,212.5449766167708,Debit Card,True,Gladiator Sandals,24.689064597710008,Not Returned,
25,2021-05-02,122,City122,483.26052325592946,Credit Card,False,Jeans,42.00296446858443,Not Returned,
25,2021-05-03,123,City123,426.4810855162806,PayPal,False,Fringe Scarf,34.77641685562301,Not Returned,
25,2021-05-04,124,City124,256.44869198643505,PayPal,False,Hiking Boots,23.854894788582275,Returned,Other
25,2021-05-05,125,City125,301.9328052077613,Cash,False,Pocket T-Shirt,34.75536392152082,Not Returned,
26,2021-05-06,126,City126,320.97656466084027,Cash,False,Plaid Scarf,26.865945789627844,Not Returned,
26,2021-05-07,127,City127,303.65947175845776,PayPal,False,Athletic Shorts,3.0946153513687458,Not Returned,
26,2021-05-08,128,City128,49.84943451957274,PayPal,False,Leather Gloves,8.015420475453105,Not Returned,
26,2021-05-09,129,City129,260.67311778487067,PayPal,True,Blazer,4.959114037902235,Not Returned,
26,2021-05-10,130,City130,67.12172206148574,PayPal,False,Cargo Pants,14.505544942398284,Not Returned,
27,2021-05-11,131,City131,41.50622550683539,Debit Card,False,Belt,25.600264147487923,Not Returned,
27,2021-05-12,132,City132,487.47612793426305,Cash,False,Stiletto Heels,19.77246031622627,Returned,Other
27,2021-05-13,133,City133,11.680399745326516,Credit Card,False,Plaid Scarf,47.40216577280536,Not Returned,
27,2021-05-14,134,City134,283.66055309792097,Credit Card,True,Denim Shorts,47.9336694102279,Not Returned,
27,2021-05-15,135,City135,158.17107922699296,Cash,False,Tote Bag,46.00344411838141,Returned,Other
28,2021-05-16,136,City136,165.9271435482896,PayPal,False,Tote Bag,8.993247869634185,Not Returned,
28,2021-05-17,137,City137,239.76530325485334,Cash,False,Striped Shirt,31.111783737708382,Not Returned,
28,2021-05-18,138,City138,456.9804154948632,Debit Card,False,Earrings,38.258400087382775,Not Returned,
28,2021-05-19,139,City139,76.18609087562491,Debit Card,False,Knit Gloves,42.52950399065315,Returned,Changed Mind
28,2021-05-20,140,City140,199.23054009303542,PayPal,True,Necktie,22.46087287715674,Not Returned,
29,2021-05-21,141,City141,372.9883132406546,PayPal,False,Leather Gloves,27.745469714320155,Not Returned,
29,2021-05-22,142,City142,246.85781181841563,PayPal,False,Ankle Boots,3.5381306731808113,Not Returned,
29,2021-05-23,143,City143,45.56320087833602,Credit Card,False,Woven Tie,21.83840481625306,Not Returned,
29,2021-05-24,144,City144,476.88114137907434,Cash,False,Beanie,35.96201712823155,Not Returned,
29,2021-05-25,145,City145,305.77612349262137,Cash,False,Bracelet,32.77888280894122,Not Returned,
30,2021-05-26,146,City146,161.6715549852981,Credit Card,False,Earrings,28.550538638111096,Not Returned,
30,2021-05-27,147,City147,51.90278670640978,PayPal,False,Zip-Up Hoodie,23.231415269732675,Returned,Wrong Size
30,2021-05-28,148,City148,365.7598729194565,Credit Card,False,Baseball Cap,10.777718207441067,Not Returned,
30,2021-05-29,149,City149,306.0984675008239,Cash,False,Wool Gloves,27.792657476647513,Returned,Wrong Size
